,ID,text,created_at,emotion
0,1,@RealRaider2055 Completely agree... but dude works his ass off so I expect it.. plus the talent they can still get… https://t.co/zW8InMwSY2,2020-03-17 01:03:37,excitement
1,2,Trap the chicken (cone) in the cage! Brilliant activity #fun #aim #excitement https://t.co/5z0ihQjXcb,2020-03-17 00:48:54,excitement
2,3,@oceanclub @mrkocnnll I got one too! #excitement,2020-03-16 21:37:34,excitement
3,4,"RT @seanyseanysaeny: Love this picture, #love #glee #excitement #relief #pride #honour are all seen here. https://t.co/3iWfw5r16M",2020-03-16 21:27:57,excitement
4,5,I've been lurching between #existentialdread and #excitement like it's one huge #snowday at school since late Jan.… https://t.co/h44Opp63rY,2020-03-16 20:10:23,excitement
5,6,"Tech #Entrepreneurship in #Africa is the best experience you can wish for. The #excitement, #People #environment an… https://t.co/22O4rmfRZJ",2020-03-16 18:42:36,excitement
6,7,Wants vs Needs The problem with wants They do bring #excitement but do not bring lasting #happiness 🧠,2020-03-16 18:37:06,excitement
7,8,Pequi is truly excited we've gone for social distancing. We too are very pleased to have the #cat with us for… https://t.co/q6W3Cri92h,2020-03-16 17:13:01,excitement
8,9,"NEW STREAM SET UP COMING IN HOT!! 🙌 New things are coming and I couldn't be more excited! 

SHOUT OUT TO MY FRIENDS… https://t.co/Et4SZibXEy",2020-03-16 16:57:48,excitement
9,10,RT @zonefitness_SA: Sneak peek of our wonderful Zone Fitness Wynberg that is shaping up nicely! We cannot express how excited we are for th…,2020-03-16 16:40:30,excitement
10,11,"Even the big guy knows how to earn free money. 

#FunnearnKaro #KhelKhelMeinPaisa #EkMinuteMeinPaisaDouble… https://t.co/7siiVrW0RF",2020-03-16 12:27:24,excitement
11,12,"Why don't students like school, or perhaps more realistically, why don't more of them like it? Any teacher knows th… https://t.co/PjfI2KPs09",2020-03-16 11:30:44,excitement
12,13,"#MondayMotivation Are you working your dream job, or is your job helping you make your real dream a reality? Whatev… https://t.co/2aQd5u11sr",2020-03-16 11:01:41,excitement
13,14,"#magicmonday

#unforgettable #entertainment #closeupmagic #smiles #laughter #excitement #awesomereactions… https://t.co/3w6JHkihuy",2020-03-16 09:41:27,excitement
14,15,"@aramazarian never fail to satisfy our cravings.
.
.
.
.

#instafood #foodphotography #dubaifoodbloggersinstagram… https://t.co/zuM9ogrxLP",2020-03-16 08:18:31,excitement
15,16,"This player is ready to rule this #Monday with his high scores! What about you?

#MondayMotivation #mondaythoughts… https://t.co/0JFSFcgXuP",2020-03-16 07:13:54,excitement
16,17,"RT @gladwethoughtof: Have an Adventurous Day! is about #Discovery, #Learning, #Fun, #Excitement and #Adventure. This is a #childrens #book…",2020-03-16 03:48:41,excitement
17,18,"RT @gladwethoughtof: Have an Adventurous Day! is about #Discovery, #Learning, #Fun, #Excitement and #Adventure. This is a #childrens #book…",2020-03-16 03:40:52,excitement
18,19,"RT @gladwethoughtof: Have an Adventurous Day! is about #Discovery, #Learning, #Fun, #Excitement and #Adventure. This is a #childrens #book…",2020-03-16 03:24:36,excitement
19,20,"Have an Adventurous Day! is about #Discovery, #Learning, #Fun, #Excitement and #Adventure. This is a #childrens… https://t.co/2Xe69ke04n",2020-03-16 01:51:33,excitement
20,21,"Feeling defiant! We shall not allow Covid19, Coronavirus to define whom we are.  We shall overcome!!!

#AggiePride… https://t.co/Sj7HD4gbhC",2020-03-15 21:37:59,excitement
21,22,My first #movie #swimsuitmodels #watersports #6pack #lean #fit #triathlontraining #lean #densemuscle #rashguard… https://t.co/yt4evm4neC,2020-03-15 20:29:02,excitement
22,23,@ChrisDJackson @JoeBiden @BernieSanders Don’t need #excitement need stability and experience,2020-03-15 19:57:43,excitement
23,24,@_onvme you will! we just going to risk it a little bit! #excitement #yolo,2020-03-15 18:12:50,excitement
24,25,#InfluencerMarketing is a extremely #successful &amp; #powerful tool if done right! Finding the right fit for the… https://t.co/TBV7vYvXxL,2020-03-15 15:18:02,excitement
25,26,Photobooths give your guests something fun to do and bring excitement to the party. Call us for a quote today 😃🙃😜🥳… https://t.co/BgV8GgmRyb,2020-03-15 11:33:49,excitement
26,27,“We’ve found a new home already?!” #NiniDolls #newhome #excitement #thankyou for all your very kind interest and su… https://t.co/pDUtAIGnCS,2020-03-15 11:14:14,excitement
27,28,Todays topic of discussion with family .. how pornhub made premium free in Italy and will they do the same here ☺️ #excitement ...,2020-03-15 09:34:41,excitement
28,29,#JayLilRoseCollection told you there'd be more #excitement in #2020 and as continued #support and #appreciation is… https://t.co/qtrfl5tzFr,2020-03-15 08:17:19,excitement
29,30,#JayLilRoseCollection told you there'd be more #excitement in #2020 and as continued #support and #appreciation is… https://t.co/M18HGw1rdE,2020-03-15 08:13:29,excitement
