,ID,text,created_at,emotion
0,1,@InspiringU2 Smells like #Fear to me! #bluewave2020,2020-03-17 01:52:56,fear
1,2,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:51:56,fear
2,3,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:51:33,fear
3,4,"Fear Factor #fear #pandemic #anxiety #coronavirus
https://t.co/uutwnHT2tH",2020-03-17 01:51:26,fear
4,5,I’m doing just fine.. what’s your problem. #StopThePanic quit fanning the flames of #Fear and #RemainCalm… https://t.co/wWlI7JWp3E,2020-03-17 01:51:17,fear
5,6,#WashingtonDC #restaurants #streets #people #gost #fear #corronavirus #food —- A sad and lonely town at 1 in the af… https://t.co/vlyd8sX57z,2020-03-17 01:51:11,fear
6,7,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:50:45,fear
7,8,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:49:38,fear
8,9,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:49:03,fear
9,10,"""I am not fearless. I am terrified but I write anyway."" - Roxanne Gay #writerslife #fear https://t.co/qft62am5RN",2020-03-17 01:48:17,fear
10,11,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:48:06,fear
11,12,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:47:46,fear
12,13,“There is nothing of which every man is so afraid as getting to know how much he is capable of.” #fear #quote https://t.co/bPtWsRnq01,2020-03-17 01:47:16,fear
13,14,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:46:36,fear
14,15,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:45:47,fear
15,16,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:45:04,fear
16,17,What if we could snap our fingers and take away the negative connotation or judgment of #fear and #anxiety? What if… https://t.co/SqpTPeGSHu,2020-03-17 01:44:48,fear
17,18,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:44:42,fear
18,19,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:44:21,fear
19,20,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:42:36,fear
20,21,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:42:18,fear
21,22,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:41:17,fear
22,23,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:49,fear
23,24,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:24,fear
24,25,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:22,fear
25,26,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:20,fear
26,27,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:16,fear
27,28,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:15,fear
28,29,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:40:15,fear
29,30,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:39:12,fear
30,31,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:39:05,fear
31,32,"RT @dailywisdomwrds: #MondayVibes “#Fear will grow when you feed it with your energy.”  #fear inside, should never grow bigger than the pro…",2020-03-17 01:38:41,fear
32,33,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:38:02,fear
33,34,"RT @FCMcKenzie: This has unleashed far more than a health crisis. The #behavioural ramifications of #fear at levels not seen since wartime,…",2020-03-17 01:37:24,fear
34,35,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:36:41,fear
35,36,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:36:09,fear
36,37,"32 y/o gal leaps into bed so #monsters under #bed don’t attack her! You’re crazy too! ""And I Thought I Was Crazy! Q… https://t.co/74HYxIPUHL",2020-03-17 01:35:00,fear
37,38,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:34:56,fear
38,39,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:33:56,fear
39,40,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:31:59,fear
40,41,Check out @CharmsFitDoc for your next interview! #fear #burnout #coronavirus https://t.co/C1BSJW6gGS https://t.co/kFelR7F7Qf,2020-03-17 01:31:37,fear
41,42,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:30:24,fear
42,43,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:29:37,fear
43,44,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:29:04,fear
44,45,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:28:44,fear
45,46,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:28:33,fear
46,47,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:27:50,fear
47,48,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:27:38,fear
48,49,"@drpuyuma Ludicrous 😏

This guy blatantly shares a water with the child while coughing inches from her face? Get ou… https://t.co/Z8GnqT7GQt",2020-03-17 01:27:25,fear
49,50,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:27:01,fear
50,51,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:26:07,fear
51,52,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:24:03,fear
52,53,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:22:31,fear
53,54,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:21:59,fear
54,55,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:21:55,fear
55,56,#fear love #enlightened #enlightenment #awakening #spiritualawakening #mind #consciousness #mind #matter #evolution… https://t.co/TMVigextGK,2020-03-17 01:21:54,fear
56,57,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:21:35,fear
57,58,"RT @gracehwang1970: @DrDzul @BooSoonYew67 Dear Dato, Dr. Dzul with honour

I am afraid that the wrong usage of words ( #Lockdown or #Restei…",2020-03-17 01:21:06,fear
58,59,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:20:27,fear
59,60,Quora: Are there any plane crashes due to turbulence? https://t.co/OTH5d51mz7 airlines travel RT #fear https://t.co/cfMQolWoww,2020-03-17 01:20:07,fear
60,61,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:19:57,fear
61,62,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:18:58,fear
62,63,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:18:42,fear
63,64,#KillYourself $hill #LiAR #Pedo #PedoProtector #PizzaGate #HollyWeird #Coronavirus #Hoax #FreeMason $cam $heeple… https://t.co/7ZDbgLHaww,2020-03-17 01:18:00,fear
64,65,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:17:44,fear
65,66,"RT @gracehwang1970: @DrDzul @BooSoonYew67 Dear Dato, Dr. Dzul with honour

I am afraid that the wrong usage of words ( #Lockdown or #Restei…",2020-03-17 01:17:05,fear
66,67,@KevinMKruse The #IdesOfMarch vie with #October for investors #fear.,2020-03-17 01:16:59,fear
67,68,Please JOIN me in informing #MEDIA - @ABC @CBS @NBCNews @TwitterAPI @Reuters @AP #AssociatedPress @FoxNews @CNN… https://t.co/ClFsf3hlJL,2020-03-17 01:16:38,fear
68,69,"RT @gracehwang1970: @DrDzul @BooSoonYew67 Dear Dato, Dr. Dzul with honour

I am afraid that the wrong usage of words ( #Lockdown or #Restei…",2020-03-17 01:16:03,fear
69,70,"RT @gracehwang1970: @DrDzul @BooSoonYew67 Dear Dato, Dr. Dzul with honour

I am afraid that the wrong usage of words ( #Lockdown or #Restei…",2020-03-17 01:15:10,fear
70,71,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:14:30,fear
71,72,@HorusKairos Coved 19 is not the only out of control contagion sweeping the planet. #Fear. More likely to infect th… https://t.co/MTjeaeRpdk,2020-03-17 01:13:57,fear
72,73,What To Do In Very Tough Times https://t.co/N0euj3TtlG #health #cornavirus #covid19 #healthychoices #safety… https://t.co/5Ulfe84CFS,2020-03-17 01:13:22,fear
73,74,What To Do In Very Tough Times https://t.co/lJ0Ud2vasU #health #cornavirus #covid19 #healthychoices #safety… https://t.co/jX4HWsMVZT,2020-03-17 01:13:16,fear
74,75,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:11:36,fear
75,76,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:10:44,fear
76,77,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:10:06,fear
77,78,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:07:20,fear
78,79,"RT @BrookeLewisLA: #COVIDー19 is understandably triggering #fear &amp; #panic in the world.  Let’s make smart, #healthy choices &amp; take proper pr…",2020-03-17 01:07:03,fear
79,80,"RT @dailywisdomwrds: #MondayVibes “#Fear will grow when you feed it with your energy.”  #fear inside, should never grow bigger than the pro…",2020-03-17 01:06:30,fear
80,81,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:05:15,fear
81,82,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:05:08,fear
82,83,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:03:30,fear
83,84,"@ABC #MEDIA's voracious appetite for #hysteria, #cruelty, #crisis, #confusion, #fear never ends, as they prove, tim… https://t.co/ETgKFz9KTp",2020-03-17 01:03:16,fear
84,85,"RT @Learning2GetBy: If your 1st response is to attack the Canadian PM, experts, professionals &amp; eachother, please take pause.

Fear and pan…",2020-03-17 01:03:07,fear
85,86,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 01:02:03,fear
86,87,https://t.co/mMVQotCQy8 Sharing some thoughts from my place of quarantine (my husband flew through Korea on March 6… https://t.co/IYUCua5gPc,2020-03-17 01:00:54,fear
87,88,"✅#Pray.
✅#Wash your #Hands.
✅#Nurture your #Body. 
✅#Protect your #ImmuneSystem.
✅Use #wisdom.
✅Don’t #Fear.
✅… https://t.co/iTIBHzm1W4",2020-03-17 01:00:39,fear
88,89,"This world will always be 'infected' with something disastrous. And every time that it is, the Fear Monster is rele… https://t.co/I3gPs3PI3y",2020-03-17 01:00:24,fear
89,90,Chicken Little goes haywire in the minds of everyone who soaks in the bad news without a filter.#Coronavirus #fear… https://t.co/Ldm1wlwx8u,2020-03-17 01:00:15,fear
90,91,Fear is powerful. And there’s a fine line between fear and caution that is sometimes hard not to cross.… https://t.co/1MddvP7z94,2020-03-17 00:59:49,fear
91,92,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:59:47,fear
92,93,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:59:36,fear
93,94,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:58:21,fear
94,95,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:58:00,fear
95,96,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:57:36,fear
96,97,@TheJuanWilliams Then STFU about him having to do more...why do you insufferable liberals who claim he's a Dictator… https://t.co/nV3q8p5tg8,2020-03-17 00:57:10,fear
97,98,"In the midst of all this craziness that has sparked so much fear, I am reminding myself to stop and remember who is… https://t.co/Oo8QM7RZxY",2020-03-17 00:56:38,fear
98,99,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:56:04,fear
99,100,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:55:04,fear
100,101,I cannot image a #fear so paralyzing that I must work to cause #fear in everyone around me to justify my #fear.… https://t.co/lhGJCgyuKf,2020-03-17 00:54:24,fear
101,102,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:53:24,fear
102,103,"When you find yourself in the middle of #hardship, overwhelmed with #fear, #anger, #sorrow, or any other #painful… https://t.co/5dotFvY7ct",2020-03-17 00:53:02,fear
103,104,RT @EVERALDATLARGE: Been around for nearly 9 decades. Learned early in life that when you motivate people by #fear bad things happen. When…,2020-03-17 00:52:17,fear
104,105,Fear Is The Mind Killer | #MentalHealth #Fear #Psychology https://t.co/V5FNPrL4ON,2020-03-17 00:51:52,fear
105,106,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:51:51,fear
106,107,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:50:16,fear
107,108,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:48:38,fear
108,109,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:47:49,fear
109,110,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:47:15,fear
110,111,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:46:39,fear
111,112,"RT @zeusFanHouse: In a rare break from liberal #Hollywood groupthink,SEAL Team star #DavidBoreanaz slammed #CNN 4 its coverage of global #C…",2020-03-17 00:46:26,fear
