,ID,text,created_at,emotion
0,1,nah 2020 started with me turning a blind eye to the physical and being devout to the inside. forced deeper into the… https://t.co/ypI5RPRdcf,2020-03-17 01:52:59,happy
1,2,"#Nigel👨
jo👱
you know👨would take you👱anywhere you👱would like too go but toon'ghtt🌒would really mean a lot too #Her👧&amp;… https://t.co/xWQ1OyCgmZ",2020-03-17 01:52:22,happy
2,3,"RT @Banansplanet: A peek of my graduation project
I will be making a (draw this in your style)soon to celebrate hitting 1000 followers on I…",2020-03-17 01:52:06,happy
3,4,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:51:12,happy
4,5,"RT @ARGPOLODAY: #photooftheday Polo Day March 4th: Be Happy Today. Polo for Everyone!

https://t.co/JmEjkQYK6V

#ArgentinaPoloDay #PoloDay…",2020-03-17 01:50:47,happy
5,6,"Crazy J Ft. Louie The 13 - Nightmare (Official Audio)
https://t.co/VBOfMGSXUu
🎤🎼#CrazyJ #OfficialCrazyJ… https://t.co/xS8cZarJIl",2020-03-17 01:50:25,happy
6,7,Aww yeah it's all good bing bong bing bong #happy https://t.co/YfdMl0wemF,2020-03-17 01:48:25,happy
7,8,"RT @LaceysLife2014: 🌺☀️Happy Monday☀️🌺

The sun is shining, the birds are singing and the flowers are appearing. Let’s  do this! 💜🐕🐾

#Mond…",2020-03-17 01:48:06,happy
8,9,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:47:13,happy
9,10,"#happy #sell #love #HomeSweetHome 

LOVE MY CLIENTS!  You become family &amp; I'll always be here for you💖😍🥳🏡😁😘 https://t.co/yKqTUzH6xe",2020-03-17 01:46:47,happy
10,11,shining like stars  #drunktexts #partyhard #crazy #craycray #partypeople #happy #fun #smile #photooftheday #cute… https://t.co/dhgzlqKfvW,2020-03-17 01:46:41,happy
11,12,RT @JustTylerCove: It felt like Spring yesterday ☀️😎😊 #Tyler #JustTyler #TylerCove #DownSyndrome #Playtime #Outside #Spring #SunnyDay #Happ…,2020-03-17 01:46:22,happy
12,13,"RT @kookiechimm: Shadow &amp; Ego hangout together!🐱☀
#SUGA #HOBI #Happy  #MAP_OF_THE_SOUL https://t.co/LPSi5PMNXc",2020-03-17 01:46:11,happy
13,14,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:45:28,happy
14,15,"RT @LaceysLife2014: 🌺☀️Happy Monday☀️🌺

The sun is shining, the birds are singing and the flowers are appearing. Let’s  do this! 💜🐕🐾

#Mond…",2020-03-17 01:45:23,happy
15,16,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:45:22,happy
16,17,"#photooftheday Polo Day March 4th: Be Happy Today. Polo for Everyone!

https://t.co/JmEjkQYK6V

#ArgentinaPoloDay… https://t.co/rMypuRPKhF",2020-03-17 01:44:18,happy
17,18,"Burgers, sweet potato fries, onion rings, wine, and @therookie. This quarantine has nothing on me. #bringiton #happy",2020-03-17 01:43:24,happy
18,19,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:42:47,happy
19,20,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:40:27,happy
20,21,"Crazy J Ft. Louie The 13 - Nightmare (Official Audio)
https://t.co/VBOfMGSXUu
🎤🎼#CrazyJ #OfficialCrazyJ… https://t.co/ychfqTwWgk",2020-03-17 01:40:10,happy
21,22,When your better half sends you a link of some novel writing Apps to experiment with #WritingLife #happy https://t.co/4Ap6k2eGj3,2020-03-17 01:39:30,happy
22,23,How to Be #Happy: 23 Ways to Be Happier https://t.co/T4sEZUIE7G #Happiness https://t.co/ui6AeVJg7u,2020-03-17 01:39:09,happy
23,24,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:38:17,happy
24,25,".. but I m not #happy #WithoutYou 

#thoughtoftheday",2020-03-17 01:37:11,happy
25,26,"RT @hunner_music: Week 46 - Lake House 🏡
Beat produced by pilotkid
Shot/edited by @imdevinbrochu
#52weekchallenge —————————————————#hiphop…",2020-03-17 01:35:01,happy
26,27,"RT @hunner_music: Week 46 - Lake House 🏡
Beat produced by pilotkid
Shot/edited by @imdevinbrochu
#52weekchallenge —————————————————#hiphop…",2020-03-17 01:34:57,happy
27,28,"Week 46 - Lake House 🏡
Beat produced by pilotkid
Shot/edited by @imdevinbrochu
#52weekchallenge —————————————————… https://t.co/NUmLrzwo6Y",2020-03-17 01:34:29,happy
28,29,"RT @v_unbeatable: We can’t describe our feelings, how much we are happy at this moment, we just started doing celebration in Indian style o…",2020-03-17 01:34:04,happy
29,30,Remember Someone Loves You  #happy #tagforlikes #explore#fizermusic  https://t.co/2yMwIy1FGp,2020-03-17 01:33:48,happy
30,31,"😍 this makes me so happy for some reason

#SheddAquarium #penquins #happy https://t.co/ORQozP16uJ",2020-03-17 01:32:33,happy
31,32,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:31:01,happy
32,33,"YOU'LL WANT TO SAVE THIS ONE FOR LATER!! 

Double Choc Chip PB Protein Cookie🍫🥜🍪
⁣
🚀https://t.co/c02wRwx4Ch

📸… https://t.co/TMQvdMWuh2",2020-03-17 01:30:57,happy
33,34,"Crazy J Ft. Louie The 13 - Nightmare (Official Audio)
https://t.co/VBOfMGSXUu
🎤🎼#CrazyJ #OfficialCrazyJ… https://t.co/F1OE3uO7N2",2020-03-17 01:30:45,happy
34,35,"When you’re felling down, just smile :) #happy",2020-03-17 01:30:22,happy
35,36,"Happy March 16! How can you share God's #love w/another today? ❤️ #Happy #MastermindMonday! 😊

#john316… https://t.co/EXc99fP3Xd",2020-03-17 01:30:04,happy
36,37,"hate the sin love the sinner!

#preach #prayer #dayofprayer #happy #MAGA #KAG2020",2020-03-17 01:29:40,happy
37,38,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:28:05,happy
38,39,RT @gibsonswater: Home Water Purification Systems | Water-Right Blog https://t.co/fRh5JX5jZI #water #cleanwater #gibbythefish #drinkmorewat…,2020-03-17 01:27:02,happy
39,40,RT @Awesome___Vibes: Be Consistent #awesomevibes #awesome #vibes  #positivity #positiveenergy #energy #peace #love #happiness #happy #motiv…,2020-03-17 01:26:37,happy
40,41,RT @VCSUsoftball: 💪🏼💯CONGRATS‼️‼️‼️#happy,2020-03-17 01:25:23,happy
41,42,#Costco #shopping #successful #rainingnight #steak #dinner #tonight #happy @ Costco https://t.co/6x0VK3kdAJ,2020-03-17 01:24:42,happy
42,43,"@VSrinivasGoud TODAY V. SRINIVAS GOUD TELANGANA STATE SPORTS MINSTER BIRTH DAY
#HAPPY BIRTH DAY SIR 🎂 💐 🎉 🎊 🎀🎁#
I L… https://t.co/D42LtFY5kl",2020-03-17 01:24:29,happy
43,44,"Happy St. Patrick’s Day one and all 🍀🤗

#coronavirus #positivevibes #beautiful #photooftheday #instadaily… https://t.co/ybyjguR9y8",2020-03-17 01:24:12,happy
44,45,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:22:00,happy
45,46,Jesus Christ Christian Bible Prophecy News - #POTUS #happy #patriot #MAGA: Pedogate Pizza Gate pedophile cannibal L… https://t.co/7N3eWUD9pd,2020-03-17 01:21:52,happy
46,47,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:21:23,happy
47,48,RT @Ikajal_raghwani: A #happy #soul is the #best #shield for a #cruel #world !!! #🤗 good morning #🦋 https://t.co/3PCJPdKt9p,2020-03-17 01:20:55,happy
48,49,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:19:17,happy
49,50,RT @Awesome___Vibes: Be Consistent #awesomevibes #awesome #vibes  #positivity #positiveenergy #energy #peace #love #happiness #happy #motiv…,2020-03-17 01:18:56,happy
50,51,RT @Awesome___Vibes: Sending out some positive energy! #awesomevibes #awesome #vibes  #positivity #positiveenergy #energy #peace #love #hap…,2020-03-17 01:18:48,happy
51,52,RT @Awesome___Vibes: Manifest Your Dream! #awesomevibes #awesome #vibes  #positivity #positiveenergy #energy #peace #love #happiness #happy…,2020-03-17 01:18:43,happy
52,53,Karate photo throwback! #yeagerlife #Lilmissyeager #yeagerkids #whitebelt #karate #throwback #happiness #happy #bam… https://t.co/OLQpZzshO3,2020-03-17 01:16:47,happy
53,54,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:16:41,happy
54,55,"RT @Nonosartsstuff: HAPPY WHITE DAY!!! Take some Ink error
#happy #white #day #happywhiteday #errink #errorink #inkerror #inkxerror #errorx…",2020-03-17 01:16:16,happy
55,56,"Never be afraid to try something new, becuase life gets boring when you stay within the limits of what you already… https://t.co/TUiDl3Gpn7",2020-03-17 01:16:10,happy
56,57,"“Quarantine-ing” ... it’s a new word I’m trying to make happen.
Stay safe &amp; healthy, everyone! ❤️🙏🏽😷😁
.
.
.… https://t.co/ePzJoqXwBu",2020-03-17 01:15:42,happy
57,58,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:15:40,happy
58,59,@TheEllenShow @thelaurengraham ~Oh GEE... it's her bday? Ha. See what i did there. Yep. Thank me later. #Happy Happy Lauren.,2020-03-17 01:15:33,happy
59,60,@haIabyu #HAPPY BIRTHDAY,2020-03-17 01:15:26,happy
60,61,"Crazy J Ft. Louie The 13 - Nightmare (Official Audio)
https://t.co/VBOfMGSXUu
🎤🎼#CrazyJ #OfficialCrazyJ… https://t.co/WvIuWBgLTs",2020-03-17 01:15:22,happy
61,62,"Happy to be (here) together 🥕
•
•
•
#family #sohappytogether #covid19 #thefamilythatstaystogether #familyquarantine… https://t.co/YUmepVVb99",2020-03-17 01:15:16,happy
62,63,RT @PEchurchprim1: Action packed #EYFS #physicaldevelopment session this morning with @eyfschurch 😊 focusing on rolling and accuracy. We us…,2020-03-17 01:14:49,happy
63,64,Today was flat out exhausting. Then there’s this. 💜✨ Here’s your dose of “HAPPY” for the day. 🤗💓… https://t.co/WgiJbeANlV,2020-03-17 01:13:56,happy
64,65,"Coz BTS you are reason let Army always stay by your side💜 Army truly love your music &amp; dancing💜 Full of passion, mo… https://t.co/xD2YkFqWQP",2020-03-17 01:13:35,happy
65,66,RT @CuellarLanora: My down time away from media  nonsense  #cowgirl badass #famous and #ranchowner #happy grateful and more #notscared  #sh…,2020-03-17 01:13:33,happy
66,67,What mindbodygreen Staffers Are Doing To Stay Healthy Right Now #Healthy #Happy #Living https://t.co/poF5CwM5Vr,2020-03-17 01:13:21,happy
67,68,"RT @SGB7ashes: Sorry Bill Biram teacher at St Peters, wife Gill same but at St Ivo. #happy days",2020-03-17 01:13:16,happy
68,69,"Sorry Bill Biram teacher at St Peters, wife Gill same but at St Ivo. #happy days",2020-03-17 01:12:29,happy
69,70,RT @king_ajaz786: @CqZVBx8jExr0F3b @allaukhinaa @vikasm12345 @MukherjiRatna @GangulySunetra @SARITAKUMARISH3 @Ashabachchan @ImJasbir @Sande…,2020-03-17 01:10:03,happy
70,71,Thank God the #barbershop was still open. 😷 off for the cut tho. Feeling goooood with my #freshcut #vipbarbershop… https://t.co/W5Ntu7Btru,2020-03-17 01:07:53,happy
71,72,⭐⭐⭐⭐⭐ review by Craig J.: Really cute bangles. Very pleased. #etsy #happy #customer #feedback #alaridesign… https://t.co/UQkWHtAfCT,2020-03-17 01:07:02,happy
72,73,"Check out this week's edition of #ecptv #ellisscountypress 
#bonjourworldritaandguillaume #theinsidermag #13bruja… https://t.co/JLlQURazlX",2020-03-17 01:06:44,happy
73,74,"RT @rajpalofficial: Happy birthday to me 🎂
#happybirthdayrajpalyadav 
#itsmybirthday #happy #love https://t.co/yevqtFH0tO",2020-03-17 01:06:13,happy
