,ID,text,created_at,emotion
0,1,"I need to see a #neurologist, but can’t #afford it. I’ve suffered from #depression, #OCD, and #anxiety most of my l… https://t.co/aL5k3KMirt",2020-03-17 01:00:53,pleasant
1,2,"Villa Ilinden placed in #Dihovo village near Bitola, offers you #pleasant &amp; #comfortable housing in #Macedonia… https://t.co/selnN1Oy8N",2020-03-16 12:29:02,pleasant
2,3,"RT @Dr_Elkhatib1: A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost #WritingC…",2020-03-16 10:54:01,pleasant
3,4,"RT @Dr_Elkhatib1: A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost #WritingC…",2020-03-16 04:22:16,pleasant
4,5,"RT @Dr_Elkhatib1: A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost #WritingC…",2020-03-16 04:15:14,pleasant
5,6,this is such a #koch #move.  my #old #man who #teaches says this is another #way to  cozy up to #bigtech in #league… https://t.co/YSqNc23UKI,2020-03-16 03:18:34,pleasant
6,7,#profmsrao #thoughtleadership #knowledge #literature #reading #advice #past #pleasant #friend #life #learning… https://t.co/ivgL3laPj1,2020-03-16 00:09:54,pleasant
7,8,"RT @HaikuRambler: He'd rather spend time
With those who are pleasant than
Those who are clever

#HaikuChallenge (pleasant) #haiku #senryu #…",2020-03-15 22:36:57,pleasant
8,9,"RT @Dr_Elkhatib1: A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost #WritingC…",2020-03-15 22:02:44,pleasant
9,10,"RT @Dr_Elkhatib1: A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost #WritingC…",2020-03-15 21:38:30,pleasant
10,11,"A #pleasant day is the #same day #someone might #view not so #nicely.

#KU #IAN1 #RRBC #IARTG #ASMSG #BookBoost… https://t.co/1eTPm1eOvb",2020-03-15 21:34:00,pleasant
11,12,Resin Bound Gravel Specification in Mount Pleasant #Resin #Bound #Gravel #Specification #Mount #Pleasant,2020-03-15 21:13:13,pleasant
12,13,"RT @delaneywilliams: #Good #Beautiful #Pleasant..
#thx @Wikipedia &amp;, of course, #Milwaukee..
The name ""Milwaukee"" comes from an Algonquian…",2020-03-15 17:12:19,pleasant
13,14,"RT @delaneywilliams: #Good #Beautiful #Pleasant..
#thx @Wikipedia &amp;, of course, #Milwaukee..
The name ""Milwaukee"" comes from an Algonquian…",2020-03-15 17:08:37,pleasant
14,15,"RT @delaneywilliams: #Good #Beautiful #Pleasant..
#thx @Wikipedia &amp;, of course, #Milwaukee..
The name ""Milwaukee"" comes from an Algonquian…",2020-03-15 17:07:45,pleasant
15,16,"RT @delaneywilliams: #Good #Beautiful #Pleasant..
#thx @Wikipedia &amp;, of course, #Milwaukee..
The name ""Milwaukee"" comes from an Algonquian…",2020-03-15 17:07:18,pleasant
16,17,"RT @delaneywilliams: #Good #Beautiful #Pleasant..
#thx @Wikipedia &amp;, of course, #Milwaukee..
The name ""Milwaukee"" comes from an Algonquian…",2020-03-15 17:05:26,pleasant
17,18,"RT @delaneywilliams: #Good #Beautiful #Pleasant..
#thx @Wikipedia &amp;, of course, #Milwaukee..
The name ""Milwaukee"" comes from an Algonquian…",2020-03-15 17:03:52,pleasant
