,ID,text,created_at,emotion
0,1,"me👱
yea soo

#Nigel👨
well jo👱one really wantts too see👀you👱thatts all

me👱
yea well who is it🤔

#Nigel👨
👨canott tel… https://t.co/mbeOvlNUHe",2020-03-17 01:43:32,surprise
1,2,"RT @Icepop_Magazine: Mom got a strange vibe from seeing future son-in-law, then she understood why
#surprise #Wow",2020-03-17 01:32:30,surprise
2,3,"RT @iamLijoJames: #KannumKannumKollaiyadithaal
Fantastic movie.
Element of #surprise everywhere.
Superb team @desingh_dp
 @dop_bhaskaran @d…",2020-03-17 01:32:08,surprise
3,4,@SandraS67054264 @LizRNC What she is telling you is how sloowww government agencies move. If States didn’t step up… https://t.co/QD3R8h4uwW,2020-03-17 01:22:09,surprise
4,5,"Super Secret Saint Patrick’s Day Surprise coming tomorrow🤫🍀 
Don’t miss out on the fun!! Comment a clover if you’re… https://t.co/vhk1ApfGqs",2020-03-17 01:05:06,surprise
5,6,What are you singing in the car? #JustJeff #CommuteSoundtrack #YourGoingToHollywood #MaybeNot #SingWhatYouFeel… https://t.co/RJFTbL1lVr,2020-03-17 00:47:57,surprise
6,7,RT @NormaJeanAngel: 🌟✨💎🎉I'm Over the #Moon It was a #Great Big Super Special #Surprise when I received it🎉💎✨A special #gift I really desire…,2020-03-17 00:44:06,surprise
7,8,#westvalleypreps AIA postpones high school sports through at least March 30 - includes interview with @DavidHinesAz… https://t.co/yGdMrUY5AZ,2020-03-17 00:40:12,surprise
8,9,RT @NormaJeanAngel: 🌟✨💎🎉I'm Over the #Moon It was a #Great Big Super Special #Surprise when I received it🎉💎✨A special #gift I really desire…,2020-03-17 00:39:26,surprise
9,10,RT @byH_Leitenbauer: #HubertLeitenbauer @byH_Leitenbauer Successor #Millionaire #KurtTepperwein #PranaEnergyTherapy®Presents:#Multi-#Grammy…,2020-03-17 00:33:33,surprise
10,11,This #Sales job might be a great fit for you. Click the link in our bio to see it and more. Part-time Nabisco Retai… https://t.co/TLTufxdVBK,2020-03-17 00:30:14,surprise
11,12,"If there is one vacation we can't stop thinking about its ""Off the beaten path"" like this Scotland tour… https://t.co/8TxUEoafOf",2020-03-17 00:30:13,surprise
12,13,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-17 00:21:42,surprise
13,14,Tiding up a room I found a couple of #watercolors that I painted last year. I also found an empty frame...so here i… https://t.co/a5gMQbIkuR,2020-03-17 00:20:36,surprise
14,15,"RT @PabloTVShow: Coming soon! 👀👇

Can you guess what it is?! 🧐

We can't wait for you to find out! ☺️🎉

#surprise #pablotvshow #comingsoon…",2020-03-16 23:41:28,surprise
15,16,"In this time of anxiousness &amp; looking out for our families &amp; the greater community, it was pretty awesome to find t… https://t.co/MToixUObNP",2020-03-16 23:23:04,surprise
16,17,@Acosta No #surprise!  Did you expect something different ? To refresh your memory. Time for new #leadership south… https://t.co/jBii4FwNho,2020-03-16 23:02:56,surprise
17,18,"https://t.co/RQ5XmgBuqI
The #Corona virus spread from an exotic meat market and #honestly, it’s no #surprise. The a… https://t.co/3pVppHvfPs",2020-03-16 22:54:58,surprise
18,19,"RT @jzikah: @Mikel_Jollett Trumpers here in Missouri are furious at the Dotardia.  
#Dotardia 

(P.S. They are losing money). 
#Surprise ht…",2020-03-16 22:06:32,surprise
19,20,"RT @ArgonautResins: Maybe when you open your #artcard order from me you may find something extra to #cheer ypu up!
#freebie #free
#makeyous…",2020-03-16 21:55:27,surprise
20,21,"RT @Astro_Nicole: Through a crack in the fence 🌺🌎☀️
#surprise #bloom #hibiscus #crackinthefence #sunshine #awe #wonder https://t.co/ZtNlKUi…",2020-03-16 21:54:07,surprise
21,22,@cmentmixer @MAllyse @MelissaGomez004 @girlziplocked @brittny_mejia But this was not one of those times. An apology… https://t.co/BPqPTehCvT,2020-03-16 21:06:35,surprise
22,23,"Keep an eye out for something special tomorrow!

#surprise #drinks #IrishLuv https://t.co/StY3itSPke",2020-03-16 21:00:54,surprise
23,24,Chariot Travelware! The Power of Chariot. I surprise song from the team will be released soon! get ready! #Surprise… https://t.co/5aVcTY2Ckb,2020-03-16 20:53:26,surprise
24,25,"RT @SausageDogHotel: Geezer was happy to hear the news that thanks to the current travel situation, his humans are coming to pick him up ea…",2020-03-16 20:53:23,surprise
25,26,@doobiedoobiedan Thank god I’m a man #surprise,2020-03-16 20:53:00,surprise
26,27,"RT @Astro_Nicole: Through a crack in the fence 🌺🌎☀️
#surprise #bloom #hibiscus #crackinthefence #sunshine #awe #wonder https://t.co/ZtNlKUi…",2020-03-16 20:51:20,surprise
27,28,"Through a crack in the fence 🌺🌎☀️
#surprise #bloom #hibiscus #crackinthefence #sunshine #awe #wonder https://t.co/ZtNlKUialx",2020-03-16 20:51:02,surprise
28,29,"Can you recommend anyone for this job? Landfill Disposal Operations Management Trainee (Surprise, AZ) -… https://t.co/cOb4OOMVIb",2020-03-16 20:16:17,surprise
29,30,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 20:12:07,surprise
30,31,"RT @iamLijoJames: #KannumKannumKollaiyadithaal
Fantastic movie.
Element of #surprise everywhere.
Superb team @desingh_dp
 @dop_bhaskaran @d…",2020-03-16 19:57:36,surprise
31,32,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 19:52:12,surprise
32,33,"📣 New Podcast! ""The Surprise"" on @Spreaker #adam #adam_eve #surprise https://t.co/zNCFk7nXQq",2020-03-16 19:47:12,surprise
33,34,"Our Surprise Pants are back!!!!! 
#wildemode #surprise #mystery @ Derby, England, Unitled Kingdom https://t.co/WxVCMs8Sd3",2020-03-16 19:46:18,surprise
34,35,"Maybe when you open your #artcard order from me you may find something extra to #cheer ypu up!
#freebie #free… https://t.co/esxMQDLkn9",2020-03-16 19:38:45,surprise
35,36,RT @GracePlaton: When #Surprise is a good #Negotiation Tactic via @LifeLabsLearn @HarvardBiz https://t.co/HqXAUqbB6c https://t.co/X6Fzpnyh5v,2020-03-16 19:16:29,surprise
36,37,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 19:12:01,surprise
37,38,Dressing up my daughter Abby’s bear “Bo” for a sweet surprise when she comes down! #makeitspecial #buildthemup… https://t.co/prdmSaThC2,2020-03-16 19:10:37,surprise
38,39,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 19:02:39,surprise
39,40,"Day 11 #100DaysOfColoring #100DaysOfX 
Got a little surprise comin for y'all!
#blackandwhite #surprise #birds… https://t.co/YQRYW7A9Xz",2020-03-16 19:02:28,surprise
40,41,"#KannumKannumKollaiyadithaal
Fantastic movie.
Element of #surprise everywhere.
Superb team @desingh_dp… https://t.co/75al1HKb0N",2020-03-16 19:01:45,surprise
41,42,"RT @DarkSideOfSynth: #nostalgia time with my 3rd submission &amp; a #surprise
#pianobookpianoday2020 - Entry 03 - Clarinet https://t.co/w5p9ETy…",2020-03-16 18:54:48,surprise
42,43,"RT @adu_willie: Now with @edemkumodzi's bomb exploding all around, who's next? #career #surprise #mystery",2020-03-16 18:49:30,surprise
43,44,You see the damndest things in the morning dew 🐸It’s usually a neighbor’s cat leaving his mark😼so this was a surpri… https://t.co/nfOdR8wEYd,2020-03-16 18:48:34,surprise
44,45,"RT @RsmithYWV: #westvalleypreps WVP catches up with boys volleyball #Glendale #Goodyear #LitchfieldPark #Peoria #Surprise #AZNEWSMEDIA 
@Ce…",2020-03-16 18:47:02,surprise
45,46,Lots of stuff this April #music #surprise #single,2020-03-16 18:46:37,surprise
46,47,"Any ideas what our #SurpriseFilm could be?
.
Don’t miss the chance to watch a top-quality new release early, for ju… https://t.co/M8nVvBzT3t",2020-03-16 18:40:09,surprise
47,48,When #Surprise is a good #Negotiation Tactic via @LifeLabsLearn @HarvardBiz https://t.co/HqXAUqbB6c https://t.co/X6Fzpnyh5v,2020-03-16 18:31:01,surprise
48,49,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 18:22:37,surprise
49,50,#Texans #Surprise #Billy=ChipKelly @HoustonTexans @Eagles https://t.co/QipTobWqgG,2020-03-16 18:20:07,surprise
50,51,"RT @StreetArtDream: ... even the most ferocious enemy... can reserve unexpected sides. Art by Bordalo II in San Francisco, USA #StreetArt #…",2020-03-16 18:16:10,surprise
51,52,"#nostalgia time with my 3rd submission &amp; a #surprise
#pianobookpianoday2020 - Entry 03 - Clarinet… https://t.co/01AV0eov0X",2020-03-16 18:14:14,surprise
52,53,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 18:12:38,surprise
53,54,"Vintage Oval Amethyst Cabochon Single Stone Gold Ring for #Wife or #Girlfriend, #Engagement #Present, #Anniversary… https://t.co/5qUOCNotjT",2020-03-16 18:09:45,surprise
54,55,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 18:06:41,surprise
55,56,"@Stoneysnapper Two top flight teams most negatively affected by season finishing now.

#surprise https://t.co/djXDHCNDIm",2020-03-16 18:02:40,surprise
56,57,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 17:48:40,surprise
57,58,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 17:47:42,surprise
58,59,"RT @kazi_91: The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27 Feb 2019 #…",2020-03-16 17:47:17,surprise
59,60,"The great person who gave great surprises &amp; contributions to Pak &amp; Pak Armed Forces are really appreciatable.
On 27… https://t.co/I295N4jE6J",2020-03-16 17:46:06,surprise
60,61,"My TA was supposed to be getting married abroad in the next couple of weeks but because of the coronavirus, all of… https://t.co/0QwCk1WkNe",2020-03-16 17:45:02,surprise
61,62,"RT @HonPaulineT: #SURPRISE!! #Friends saw 1st #Asian #COVERGIRL 
on EW's #Special #IWD2020 &amp; #WomensHistoryMonth Ed. &amp; sent 2me!2B posted @…",2020-03-16 17:40:11,surprise
62,63,"RT @jzikah: @Mikel_Jollett Trumpers here in Missouri are furious at the Dotardia.  
#Dotardia 

(P.S. They are losing money). 
#Surprise ht…",2020-03-16 17:21:29,surprise
63,64,"Choose from our wide range of creative gift ideas that will make their eyes sparkle with surprise.
Click :… https://t.co/WNW17Ct6Jl",2020-03-16 17:15:15,surprise
64,65,"RT @sm29703: Dear #World how is the #Lockdown from #Almighty's #Power.
They #Lockdown #Kashmir and Muslims in #india #Allah_Almighty lock d…",2020-03-16 17:14:52,surprise
65,66,My new original song is getting released this Friday 3/20. PRE SAVE today!! Beautiful - Alex Ariete #edm #newmusic… https://t.co/QhMwOFFFWc,2020-03-16 17:12:32,surprise
66,67,"A Monday Morning Treat...
https://t.co/zd3GlnIJvM
.
.
#homestyledirect #coffee #cupojoe #surprise #treat #Monday… https://t.co/3Lsmodwjms",2020-03-16 17:04:14,surprise
67,68,Everybody: wish @MrFreemanAC from @ACHSMAVS a happy half birthday! #FelizCompleaños #AgeBeforeBeauty #Surprise… https://t.co/Dfdjr7JDUm,2020-03-16 17:03:29,surprise
68,69,"RT @AzNewsmedia: #Surprise is canceling or postponing events, but core city services and buildings will remain open to the public. #AZNEWSM…",2020-03-16 17:01:35,surprise
69,70,"Competing bills to limit #surprise #medical #billing were recently approved by two House committees.
https://t.co/VfqFJVRDBa",2020-03-16 17:00:44,surprise
70,71,"Dear #World how is the #Lockdown from #Almighty's #Power.
They #Lockdown #Kashmir and Muslims in #india… https://t.co/PtS9qvUnKv",2020-03-16 16:43:59,surprise
